reference,name,nationality,wikipedia
mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing
super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1
red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1
spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1
mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing
spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing
sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber_Motorsport
bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing
jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix
minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi
jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing
prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix
arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International
benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula
brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP
stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix
tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing
lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola
ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier
forti,Forti,Italian,http://en.wikipedia.org/wiki/Forti
footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows
pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing
simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek
team_lotus,Team Lotus,British,http://en.wikipedia.org/wiki/Team_Lotus
larrousse,Larrousse,French,http://en.wikipedia.org/wiki/Larrousse
brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham
dallara,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara
fondmetal,Fondmetal,Italian,http://en.wikipedia.org/wiki/Fondmetal
march,March,British,http://en.wikipedia.org/wiki/March_Engineering
moda,Andrea Moda,Italian,http://en.wikipedia.org/wiki/Andrea_Moda_Formula
ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives
lambo,Lambo,Italian,http://en.wikipedia.org/wiki/Modena_(racing_team)
leyton,Leyton House,British,http://en.wikipedia.org/wiki/Leyton_House
coloni,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems
eurobrun,Euro Brun,Italian,http://en.wikipedia.org/wiki/Euro_Brun
osella,Osella,Italian,http://en.wikipedia.org/wiki/Osella
onyx,Onyx,British,http://en.wikipedia.org/wiki/Onyx_(racing_team)
life,Life,Italian,http://en.wikipedia.org/wiki/Life_(Racing_Team)
rial,Rial,German,http://en.wikipedia.org/wiki/Rial_%28racing_team%29
zakspeed,Zakspeed,German,http://en.wikipedia.org/wiki/Zakspeed
ram,RAM,British,http://en.wikipedia.org/wiki/RAM_Racing
alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
spirit,Spirit,British,http://en.wikipedia.org/wiki/Spirit_(racing_team)
toleman,Toleman,British,http://en.wikipedia.org/wiki/Toleman
ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels)
theodore,Theodore,Hong Kong,http://en.wikipedia.org/wiki/Theodore_Racing
fittipaldi,Fittipaldi,Brazilian,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29
ensign,Ensign,British,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29
shadow,Shadow,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
wolf,Wolf,Canadian,http://en.wikipedia.org/wiki/Walter_Wolf_Racing
merzario,Merzario,Italian,http://en.wikipedia.org/wiki/Merzario
kauhsen,Kauhsen,German,http://en.wikipedia.org/wiki/Kauhsen
rebaque,Rebaque,Mexican,http://en.wikipedia.org/wiki/Rebaque
surtees,Surtees,British,http://en.wikipedia.org/wiki/Surtees
hesketh,Hesketh,British,http://en.wikipedia.org/wiki/Hesketh_Racing
martini,Martini,French,http://en.wikipedia.org/wiki/Martini_(cars)
brm,BRM,British,http://en.wikipedia.org/wiki/BRM
penske,Penske,American,http://en.wikipedia.org/wiki/Penske_Racing
lec,LEC,British,http://en.wikipedia.org/wiki/LEC_(Formula_One)
mcguire,McGuire,Australian,http://en.wikipedia.org/wiki/McGuire_(Formula_One)
boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One)
apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One)
kojima,Kojima,Japanese,http://en.wikipedia.org/wiki/Kojima_Engineering
parnelli,Parnelli,American,http://en.wikipedia.org/wiki/Parnelli
maki,Maki,Japanese,http://en.wikipedia.org/wiki/Maki_(cars)
hill,Embassy Hill,British,http://en.wikipedia.org/wiki/Hill_(constructor)
lyncar,Lyncar,British,http://en.wikipedia.org/wiki/Lyncar
trojan,Trojan,British,http://en.wikipedia.org/wiki/Trojan_(Racing_team)
amon,Amon,New Zealander,http://en.wikipedia.org/wiki/Amon_(Formula_One_team)
token,Token,British,http://en.wikipedia.org/wiki/Token_(Racing_team)
iso_marlboro,Iso Marlboro,British,http://en.wikipedia.org/wiki/Iso_Marlboro
tecno,Tecno,Italian,http://en.wikipedia.org/wiki/Tecno
matra,Matra,French,http://en.wikipedia.org/wiki/Matra
politoys,Politoys,British,http://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars
connew,Connew,British,http://en.wikipedia.org/wiki/Connew
bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi
tomaso,De Tomaso,Italian,http://en.wikipedia.org/wiki/De_Tomaso
cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
lds,LDS,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
protos,Protos,British,http://en.wikipedia.org/wiki/Protos_(constructor)
shannon,Shannon,British,http://en.wikipedia.org/wiki/Shannon_(Formula_One)
scirocco,Scirocco,British,http://en.wikipedia.org/wiki/Scirocco-Powell
re,RE,Rhodesian,http://en.wikipedia.org/wiki/RE_%28automobile%29
brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership
porsche,Porsche,German,http://en.wikipedia.org/wiki/Porsche_in_Formula_One
derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis
gilby,Gilby,British,http://en.wikipedia.org/wiki/Gilby
stebro,Stebro,Canadian,http://en.wikipedia.org/wiki/Stebro
emeryson,Emeryson,British,http://en.wikipedia.org/wiki/Emeryson
enb,ENB,Belgian,http://en.wikipedia.org/wiki/Ecurie_Nationale_Belge
jbw,JBW,British,http://en.wikipedia.org/wiki/JBW
ferguson,Ferguson,British,http://en.wikipedia.org/wiki/Ferguson_Research_Ltd.
mbm,MBM,Swiss,http://en.wikipedia.org/wiki/Monteverdi_Basel_Motors
behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche
maserati,Maserati,Italian,http://en.wikipedia.org/wiki/Maserati
scarab,Scarab,American,http://en.wikipedia.org/wiki/Scarab_(constructor)
watson,Watson,American,http://en.wikipedia.org/wiki/A.J._Watson
epperly,Epperly,American,http://en.wikipedia.org/wiki/Epperly
phillips,Phillips,American,http://en.wikipedia.org/wiki/Phillips_(constructor)
lesovsky,Lesovsky,American,http://en.wikipedia.org/wiki/Lesovsky
trevis,Trevis,American,http://en.wikipedia.org/wiki/Trevis
meskowski,Meskowski,American,http://en.wikipedia.org/wiki/Meskowski
kurtis_kraft,Kurtis Kraft,American,http://en.wikipedia.org/wiki/Kurtis_Kraft
kuzma,Kuzma,American,http://en.wikipedia.org/wiki/Kuzma_(constructor)
vhristensen,Christensen,American,http://en.wikipedia.org/wiki/Christensen_(constructor)
ewing,Ewing,American,http://en.wikipedia.org/wiki/Ewing_(constructor)
aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
vanwall,Vanwall,British,http://en.wikipedia.org/wiki/Vanwall
moore,Moore,American,http://en.wikipedia.org/wiki/Moore_(constructor)
dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering
elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor)
sutton,Sutton,American,http://en.wikipedia.org/wiki/Sutton_(constructor)
fry,Fry,British,http://en.wikipedia.org/wiki/Fry_(racing_team)
tec-mec,Tec-Mec,Italian,http://en.wikipedia.org/wiki/Tec-Mec
connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering
alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team
osca,OSCA,Italian,http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili
gordini,Gordini,French,http://en.wikipedia.org/wiki/Gordini
stevens,Stevens,American,http://en.wikipedia.org/wiki/Stevens_(constructor)
bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti
mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
lancia,Lancia,Italian,http://en.wikipedia.org/wiki/Lancia_in_Formula_One
hwm,HWM,British,http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors
schroeder,Schroeder,American,http://en.wikipedia.org/wiki/Schroeder_(constructor)
pawl,Pawl,American,http://en.wikipedia.org/wiki/Pawl_(constructor)
pankratz,Pankratz,American,http://en.wikipedia.org/wiki/Pankratz
arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini
nichels,Nichels,American,http://en.wikipedia.org/wiki/Nichels
bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme
klenk,Klenk,German,http://en.wikipedia.org/wiki/Klenk
simca,Simca,French,http://en.wikipedia.org/wiki/Simca
turner,Turner,American,http://en.wikipedia.org/wiki/Turner_(constructor)
del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy
veritas,Veritas,German,http://en.wikipedia.org/wiki/Veritas_(constructor)
bmw,BMW,German,http://en.wikipedia.org/wiki/BMW
emw,EMW,East German,http://en.wikipedia.org/wiki/Eisenacher_Motorenwerk
afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau
frazer_nash,Frazer Nash,British,http://en.wikipedia.org/wiki/Frazer_Nash
sherman,Sherman,American,http://en.wikipedia.org/wiki/Sherman_(constructor)
deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt
era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia
lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso
lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren
eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
mclaren-brm,McLaren-BRM,British,http://en.wikipedia.org/wiki/McLaren_(racing)
cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
matra-ford,Matra-Ford,French,http://en.wikipedia.org/wiki/Matra
brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM
mclaren-alfa_romeo,McLaren-Alfa Romeo,British,http://en.wikipedia.org/wiki/McLaren_(racing)
march-alfa_romeo,March-Alfa Romeo,British,http://en.wikipedia.org/wiki/March_Engineering
march-ford,March-Ford,British,http://en.wikipedia.org/wiki/March_Engineering
lotus-pw,Lotus-Pratt &amp; Whitney,British,http://en.wikipedia.org/wiki/Team_Lotus
shadow-ford,Shadow-Ford,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
shadow-matra,Shadow-Matra,British,http://en.wikipedia.org/wiki/Shadow_Racing_Cars
brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham
lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
rb,RB F1 Team,Italian,http://en.wikipedia.org/wiki/RB_Formula_One_Team
