reference,year,number,name,date,time,circuit_id
380,1988,9,German Grand Prix,1988-07-24,\N,10
381,1988,10,Hungarian Grand Prix,1988-08-07,\N,11
382,1988,11,Belgian Grand Prix,1988-08-28,\N,13
383,1988,12,Italian Grand Prix,1988-09-11,\N,14
384,1988,13,Portuguese Grand Prix,1988-09-25,\N,27
385,1988,14,Spanish Grand Prix,1988-10-02,\N,26
386,1988,15,Japanese Grand Prix,1988-10-30,\N,22
387,1988,16,Australian Grand Prix,1988-11-13,\N,29
388,1987,1,Brazilian Grand Prix,1987-04-12,\N,36
389,1987,2,San Marino Grand Prix,1987-05-03,\N,21
390,1987,3,Belgian Grand Prix,1987-05-17,\N,13
391,1987,4,Monaco Grand Prix,1987-05-31,\N,6
392,1987,5,Detroit Grand Prix,1987-06-21,\N,37
393,1987,6,French Grand Prix,1987-07-05,\N,34
394,1987,7,British Grand Prix,1987-07-12,\N,9
395,1987,8,German Grand Prix,1987-07-26,\N,10
396,1987,9,Hungarian Grand Prix,1987-08-09,\N,11
397,1987,10,Austrian Grand Prix,1987-08-16,\N,70
398,1987,11,Italian Grand Prix,1987-09-06,\N,14
399,1987,12,Portuguese Grand Prix,1987-09-20,\N,27
400,1987,13,Spanish Grand Prix,1987-09-27,\N,26
401,1987,14,Mexican Grand Prix,1987-10-18,\N,32
402,1987,15,Japanese Grand Prix,1987-11-01,\N,22
403,1987,16,Australian Grand Prix,1987-11-15,\N,29
404,1986,1,Brazilian Grand Prix,1986-03-23,\N,36
405,1986,2,Spanish Grand Prix,1986-04-13,\N,26
406,1986,3,San Marino Grand Prix,1986-04-27,\N,21
407,1986,4,Monaco Grand Prix,1986-05-11,\N,6
408,1986,5,Belgian Grand Prix,1986-05-25,\N,13
409,1986,6,Canadian Grand Prix,1986-06-15,\N,7
410,1986,7,Detroit Grand Prix,1986-06-22,\N,37
411,1986,8,French Grand Prix,1986-07-06,\N,34
412,1986,9,British Grand Prix,1986-07-13,\N,38
413,1986,10,German Grand Prix,1986-07-27,\N,10
414,1986,11,Hungarian Grand Prix,1986-08-10,\N,11
415,1986,12,Austrian Grand Prix,1986-08-17,\N,70
416,1986,13,Italian Grand Prix,1986-09-07,\N,14
417,1986,14,Portuguese Grand Prix,1986-09-21,\N,27
418,1986,15,Mexican Grand Prix,1986-10-12,\N,32
419,1986,16,Australian Grand Prix,1986-10-26,\N,29
420,1985,1,Brazilian Grand Prix,1985-04-07,\N,36
421,1985,2,Portuguese Grand Prix,1985-04-21,\N,27
422,1985,3,San Marino Grand Prix,1985-05-05,\N,21
423,1985,4,Monaco Grand Prix,1985-05-19,\N,6
424,1985,5,Canadian Grand Prix,1985-06-16,\N,7
425,1985,6,Detroit Grand Prix,1985-06-23,\N,37
426,1985,7,French Grand Prix,1985-07-07,\N,34
427,1985,8,British Grand Prix,1985-07-21,\N,9
428,1985,9,German Grand Prix,1985-08-04,\N,20
429,1985,10,Austrian Grand Prix,1985-08-18,\N,70
430,1985,11,Dutch Grand Prix,1985-08-25,\N,39
431,1985,12,Italian Grand Prix,1985-09-08,\N,14
432,1985,13,Belgian Grand Prix,1985-09-15,\N,13
433,1985,14,European Grand Prix,1985-10-06,\N,38
434,1985,15,South African Grand Prix,1985-10-19,\N,30
435,1985,16,Australian Grand Prix,1985-11-03,\N,29
436,1984,1,Brazilian Grand Prix,1984-03-25,\N,36
437,1984,2,South African Grand Prix,1984-04-07,\N,30
438,1984,3,Belgian Grand Prix,1984-04-29,\N,40
439,1984,4,San Marino Grand Prix,1984-05-06,\N,21
440,1984,5,French Grand Prix,1984-05-20,\N,41
441,1984,6,Monaco Grand Prix,1984-06-03,\N,6
442,1984,7,Canadian Grand Prix,1984-06-17,\N,7
443,1984,8,Detroit Grand Prix,1984-06-24,\N,37
444,1984,9,Dallas Grand Prix,1984-07-08,\N,42
445,1984,10,British Grand Prix,1984-07-22,\N,38
446,1984,11,German Grand Prix,1984-08-05,\N,10
447,1984,12,Austrian Grand Prix,1984-08-19,\N,70
448,1984,13,Dutch Grand Prix,1984-08-26,\N,39
449,1984,14,Italian Grand Prix,1984-09-09,\N,14
450,1984,15,European Grand Prix,1984-10-07,\N,20
451,1984,16,Portuguese Grand Prix,1984-10-21,\N,27
452,1983,1,Brazilian Grand Prix,1983-03-13,\N,36
453,1983,2,United States Grand Prix West,1983-03-27,\N,43
454,1983,3,French Grand Prix,1983-04-17,\N,34
455,1983,4,San Marino Grand Prix,1983-05-01,\N,21
456,1983,5,Monaco Grand Prix,1983-05-15,\N,6
457,1983,6,Belgian Grand Prix,1983-05-22,\N,13
458,1983,7,Detroit Grand Prix,1983-06-05,\N,37
459,1983,8,Canadian Grand Prix,1983-06-12,\N,7
460,1983,9,British Grand Prix,1983-07-16,\N,9
461,1983,10,German Grand Prix,1983-08-07,\N,10
462,1983,11,Austrian Grand Prix,1983-08-14,\N,70
463,1983,12,Dutch Grand Prix,1983-08-28,\N,39
464,1983,13,Italian Grand Prix,1983-09-11,\N,14
465,1983,14,European Grand Prix,1983-09-25,\N,38
466,1983,15,South African Grand Prix,1983-10-15,\N,30
467,1982,1,South African Grand Prix,1982-01-23,\N,30
468,1982,2,Brazilian Grand Prix,1982-03-21,\N,36
469,1982,3,United States Grand Prix West,1982-04-04,\N,43
470,1982,4,San Marino Grand Prix,1982-04-25,\N,21
471,1982,5,Belgian Grand Prix,1982-05-09,\N,40
472,1982,6,Monaco Grand Prix,1982-05-23,\N,6
473,1982,7,Detroit Grand Prix,1982-06-06,\N,37
474,1982,8,Canadian Grand Prix,1982-06-13,\N,7
475,1982,9,Dutch Grand Prix,1982-07-03,\N,39
476,1982,10,British Grand Prix,1982-07-18,\N,38
477,1982,11,French Grand Prix,1982-07-25,\N,34
478,1982,12,German Grand Prix,1982-08-08,\N,10
479,1982,13,Austrian Grand Prix,1982-08-15,\N,70
480,1982,14,Swiss Grand Prix,1982-08-29,\N,41
481,1982,15,Italian Grand Prix,1982-09-12,\N,14
482,1982,16,Caesars Palace Grand Prix,1982-09-25,\N,44
483,1981,1,United States Grand Prix West,1981-03-15,\N,43
484,1981,2,Brazilian Grand Prix,1981-03-29,\N,36
485,1981,3,Argentine Grand Prix,1981-04-12,\N,25
486,1981,4,San Marino Grand Prix,1981-05-03,\N,21
487,1981,5,Belgian Grand Prix,1981-05-17,\N,40
488,1981,6,Monaco Grand Prix,1981-05-31,\N,6
489,1981,7,Spanish Grand Prix,1981-06-21,\N,45
490,1981,8,French Grand Prix,1981-07-05,\N,41
491,1981,9,British Grand Prix,1981-07-18,\N,9
492,1981,10,German Grand Prix,1981-08-02,\N,10
493,1981,11,Austrian Grand Prix,1981-08-16,\N,70
494,1981,12,Dutch Grand Prix,1981-08-30,\N,39
495,1981,13,Italian Grand Prix,1981-09-13,\N,14
496,1981,14,Canadian Grand Prix,1981-09-27,\N,7
497,1981,15,Caesars Palace Grand Prix,1981-10-17,\N,44
498,1980,1,Argentine Grand Prix,1980-01-13,\N,25
499,1980,2,Brazilian Grand Prix,1980-01-27,\N,18
500,1980,3,South African Grand Prix,1980-03-01,\N,30
501,1980,4,United States Grand Prix West,1980-03-30,\N,43
502,1980,5,Belgian Grand Prix,1980-05-04,\N,40
503,1980,6,Monaco Grand Prix,1980-05-18,\N,6
504,1980,7,French Grand Prix,1980-06-29,\N,34
505,1980,8,British Grand Prix,1980-07-13,\N,38
506,1980,9,German Grand Prix,1980-08-10,\N,10
507,1980,10,Austrian Grand Prix,1980-08-17,\N,70
508,1980,11,Dutch Grand Prix,1980-08-31,\N,39
509,1980,12,Italian Grand Prix,1980-09-14,\N,21
510,1980,13,Canadian Grand Prix,1980-09-28,\N,7
511,1980,14,United States Grand Prix,1980-10-05,\N,46
512,1979,1,Argentine Grand Prix,1979-01-21,\N,25
513,1979,2,Brazilian Grand Prix,1979-02-04,\N,18
514,1979,3,South African Grand Prix,1979-03-03,\N,30
515,1979,4,United States Grand Prix West,1979-04-08,\N,43
516,1979,5,Spanish Grand Prix,1979-04-29,\N,45
517,1979,6,Belgian Grand Prix,1979-05-13,\N,40
518,1979,7,Monaco Grand Prix,1979-05-27,\N,6
519,1979,8,French Grand Prix,1979-07-01,\N,41
520,1979,9,British Grand Prix,1979-07-14,\N,9
521,1979,10,German Grand Prix,1979-07-29,\N,10
522,1979,11,Austrian Grand Prix,1979-08-12,\N,70
523,1979,12,Dutch Grand Prix,1979-08-26,\N,39
524,1979,13,Italian Grand Prix,1979-09-09,\N,14
525,1979,14,Canadian Grand Prix,1979-09-30,\N,7
526,1979,15,United States Grand Prix,1979-10-07,\N,46
527,1978,1,Argentine Grand Prix,1978-01-15,\N,25
528,1978,2,Brazilian Grand Prix,1978-01-29,\N,36
529,1978,3,South African Grand Prix,1978-03-04,\N,30
530,1978,4,United States Grand Prix West,1978-04-02,\N,43
531,1978,5,Monaco Grand Prix,1978-05-07,\N,6
532,1978,6,Belgian Grand Prix,1978-05-21,\N,40
533,1978,7,Spanish Grand Prix,1978-06-04,\N,45
534,1978,8,Swedish Grand Prix,1978-06-17,\N,47
535,1978,9,French Grand Prix,1978-07-02,\N,34
536,1978,10,British Grand Prix,1978-07-16,\N,38
537,1978,11,German Grand Prix,1978-07-30,\N,10
538,1978,12,Austrian Grand Prix,1978-08-13,\N,70
539,1978,13,Dutch Grand Prix,1978-08-27,\N,39
540,1978,14,Italian Grand Prix,1978-09-10,\N,14
541,1978,15,United States Grand Prix,1978-10-01,\N,46
542,1978,16,Canadian Grand Prix,1978-10-08,\N,7
543,1977,1,Argentine Grand Prix,1977-01-09,\N,25
544,1977,2,Brazilian Grand Prix,1977-01-23,\N,18
545,1977,3,South African Grand Prix,1977-03-05,\N,30
546,1977,4,United States Grand Prix West,1977-04-03,\N,43
547,1977,5,Spanish Grand Prix,1977-05-08,\N,45
548,1977,6,Monaco Grand Prix,1977-05-22,\N,6
549,1977,7,Belgian Grand Prix,1977-06-05,\N,40
550,1977,8,Swedish Grand Prix,1977-06-19,\N,47
551,1977,9,French Grand Prix,1977-07-03,\N,41
552,1977,10,British Grand Prix,1977-07-16,\N,9
553,1977,11,German Grand Prix,1977-07-31,\N,10
554,1977,12,Austrian Grand Prix,1977-08-14,\N,70
555,1977,13,Dutch Grand Prix,1977-08-28,\N,39
556,1977,14,Italian Grand Prix,1977-09-11,\N,14
557,1977,15,United States Grand Prix,1977-10-02,\N,46
558,1977,16,Canadian Grand Prix,1977-10-09,\N,48
559,1977,17,Japanese Grand Prix,1977-10-23,\N,16
560,1976,1,Brazilian Grand Prix,1976-01-25,\N,18
561,1976,2,South African Grand Prix,1976-03-06,\N,30
562,1976,3,United States Grand Prix West,1976-03-28,\N,43
563,1976,4,Spanish Grand Prix,1976-05-02,\N,45
564,1976,5,Belgian Grand Prix,1976-05-16,\N,40
565,1976,6,Monaco Grand Prix,1976-05-30,\N,6
566,1976,7,Swedish Grand Prix,1976-06-13,\N,47
567,1976,8,French Grand Prix,1976-07-04,\N,34
568,1976,9,British Grand Prix,1976-07-18,\N,38
569,1976,10,German Grand Prix,1976-08-01,\N,20
570,1976,11,Austrian Grand Prix,1976-08-15,\N,70
571,1976,12,Dutch Grand Prix,1976-08-29,\N,39
572,1976,13,Italian Grand Prix,1976-09-12,\N,14
573,1976,14,Canadian Grand Prix,1976-10-03,\N,48
574,1976,15,United States Grand Prix,1976-10-10,\N,46
575,1976,16,Japanese Grand Prix,1976-10-24,\N,16
576,1975,1,Argentine Grand Prix,1975-01-12,\N,25
577,1975,2,Brazilian Grand Prix,1975-01-26,\N,18
578,1975,3,South African Grand Prix,1975-03-01,\N,30
579,1975,4,Spanish Grand Prix,1975-04-27,\N,49
580,1975,5,Monaco Grand Prix,1975-05-11,\N,6
581,1975,6,Belgian Grand Prix,1975-05-25,\N,40
582,1975,7,Swedish Grand Prix,1975-06-08,\N,47
583,1975,8,Dutch Grand Prix,1975-06-22,\N,39
584,1975,9,French Grand Prix,1975-07-06,\N,34
585,1975,10,British Grand Prix,1975-07-19,\N,9
586,1975,11,German Grand Prix,1975-08-03,\N,20
587,1975,12,Austrian Grand Prix,1975-08-17,\N,70
588,1975,13,Italian Grand Prix,1975-09-07,\N,14
589,1975,14,United States Grand Prix,1975-10-05,\N,46
590,1974,1,Argentine Grand Prix,1974-01-13,\N,25
591,1974,2,Brazilian Grand Prix,1974-01-27,\N,18
592,1974,3,South African Grand Prix,1974-03-30,\N,30
593,1974,4,Spanish Grand Prix,1974-04-28,\N,45
594,1974,5,Belgian Grand Prix,1974-05-12,\N,50
595,1974,6,Monaco Grand Prix,1974-05-26,\N,6
596,1974,7,Swedish Grand Prix,1974-06-09,\N,47
597,1974,8,Dutch Grand Prix,1974-06-23,\N,39
598,1974,9,French Grand Prix,1974-07-07,\N,41
599,1974,10,British Grand Prix,1974-07-20,\N,38
600,1974,11,German Grand Prix,1974-08-04,\N,20
601,1974,12,Austrian Grand Prix,1974-08-18,\N,70
602,1974,13,Italian Grand Prix,1974-09-08,\N,14
603,1974,14,Canadian Grand Prix,1974-09-22,\N,48
604,1974,15,United States Grand Prix,1974-10-06,\N,46
605,1973,1,Argentine Grand Prix,1973-01-28,\N,25
606,1973,2,Brazilian Grand Prix,1973-02-11,\N,18
607,1973,3,South African Grand Prix,1973-03-03,\N,30
608,1973,4,Spanish Grand Prix,1973-04-29,\N,49
609,1973,5,Belgian Grand Prix,1973-05-20,\N,40
610,1973,6,Monaco Grand Prix,1973-06-03,\N,6
611,1973,7,Swedish Grand Prix,1973-06-17,\N,47
612,1973,8,French Grand Prix,1973-07-01,\N,34
613,1973,9,British Grand Prix,1973-07-14,\N,9
614,1973,10,Dutch Grand Prix,1973-07-29,\N,39
615,1973,11,German Grand Prix,1973-08-05,\N,20
616,1973,12,Austrian Grand Prix,1973-08-19,\N,70
617,1973,13,Italian Grand Prix,1973-09-09,\N,14
618,1973,14,Canadian Grand Prix,1973-09-23,\N,48
619,1973,15,United States Grand Prix,1973-10-07,\N,46
620,1972,1,Argentine Grand Prix,1972-01-23,\N,25
621,1972,2,South African Grand Prix,1972-03-04,\N,30
622,1972,3,Spanish Grand Prix,1972-05-01,\N,45
623,1972,4,Monaco Grand Prix,1972-05-14,\N,6
624,1972,5,Belgian Grand Prix,1972-06-04,\N,50
625,1972,6,French Grand Prix,1972-07-02,\N,51
626,1972,7,British Grand Prix,1972-07-15,\N,38
627,1972,8,German Grand Prix,1972-07-30,\N,20
628,1972,9,Austrian Grand Prix,1972-08-13,\N,70
629,1972,10,Italian Grand Prix,1972-09-10,\N,14
630,1972,11,Canadian Grand Prix,1972-09-24,\N,48
631,1972,12,United States Grand Prix,1972-10-08,\N,46
632,1971,1,South African Grand Prix,1971-03-06,\N,30
633,1971,2,Spanish Grand Prix,1971-04-18,\N,49
634,1971,3,Monaco Grand Prix,1971-05-23,\N,6
635,1971,4,Dutch Grand Prix,1971-06-20,\N,39
636,1971,5,French Grand Prix,1971-07-04,\N,34
637,1971,6,British Grand Prix,1971-07-17,\N,9
638,1971,7,German Grand Prix,1971-08-01,\N,20
639,1971,8,Austrian Grand Prix,1971-08-15,\N,70
640,1971,9,Italian Grand Prix,1971-09-05,\N,14
641,1971,10,Canadian Grand Prix,1971-09-19,\N,48
642,1971,11,United States Grand Prix,1971-10-03,\N,46
643,1970,1,South African Grand Prix,1970-03-07,\N,30
644,1970,2,Spanish Grand Prix,1970-04-19,\N,45
645,1970,3,Monaco Grand Prix,1970-05-10,\N,6
646,1970,4,Belgian Grand Prix,1970-06-07,\N,13
647,1970,5,Dutch Grand Prix,1970-06-21,\N,39
648,1970,6,French Grand Prix,1970-07-05,\N,51
649,1970,7,British Grand Prix,1970-07-18,\N,38
650,1970,8,German Grand Prix,1970-08-02,\N,10
651,1970,9,Austrian Grand Prix,1970-08-16,\N,70
652,1970,10,Italian Grand Prix,1970-09-06,\N,14
653,1970,11,Canadian Grand Prix,1970-09-20,\N,52
654,1970,12,United States Grand Prix,1970-10-04,\N,46
655,1970,13,Mexican Grand Prix,1970-10-25,\N,32
656,1969,1,South African Grand Prix,1969-03-01,\N,30
657,1969,2,Spanish Grand Prix,1969-05-04,\N,49
658,1969,3,Monaco Grand Prix,1969-05-18,\N,6
659,1969,4,Dutch Grand Prix,1969-06-21,\N,39
660,1969,5,French Grand Prix,1969-07-06,\N,51
661,1969,6,British Grand Prix,1969-07-19,\N,9
662,1969,7,German Grand Prix,1969-08-03,\N,20
663,1969,8,Italian Grand Prix,1969-09-07,\N,14
664,1969,9,Canadian Grand Prix,1969-09-20,\N,48
665,1969,10,United States Grand Prix,1969-10-05,\N,46
666,1969,11,Mexican Grand Prix,1969-10-19,\N,32
667,1968,1,South African Grand Prix,1968-01-01,\N,30
668,1968,2,Spanish Grand Prix,1968-05-12,\N,45
669,1968,3,Monaco Grand Prix,1968-05-26,\N,6
670,1968,4,Belgian Grand Prix,1968-06-09,\N,13
671,1968,5,Dutch Grand Prix,1968-06-23,\N,39
672,1968,6,French Grand Prix,1968-07-07,\N,53
673,1968,7,British Grand Prix,1968-07-20,\N,38
674,1968,8,German Grand Prix,1968-08-04,\N,20
675,1968,9,Italian Grand Prix,1968-09-08,\N,14
676,1968,10,Canadian Grand Prix,1968-09-22,\N,52
677,1968,11,United States Grand Prix,1968-10-06,\N,46
678,1968,12,Mexican Grand Prix,1968-11-03,\N,32
679,1967,1,South African Grand Prix,1967-01-02,\N,30
680,1967,2,Monaco Grand Prix,1967-05-07,\N,6
681,1967,3,Dutch Grand Prix,1967-06-04,\N,39
682,1967,4,Belgian Grand Prix,1967-06-18,\N,13
683,1967,5,French Grand Prix,1967-07-02,\N,54
684,1967,6,British Grand Prix,1967-07-15,\N,9
685,1967,7,German Grand Prix,1967-08-06,\N,20
686,1967,8,Canadian Grand Prix,1967-08-27,\N,48
687,1967,9,Italian Grand Prix,1967-09-10,\N,14
688,1967,10,United States Grand Prix,1967-10-01,\N,46
689,1967,11,Mexican Grand Prix,1967-10-22,\N,32
690,1966,1,Monaco Grand Prix,1966-05-22,\N,6
691,1966,2,Belgian Grand Prix,1966-06-12,\N,13
692,1966,3,French Grand Prix,1966-07-03,\N,55
693,1966,4,British Grand Prix,1966-07-16,\N,38
694,1966,5,Dutch Grand Prix,1966-07-24,\N,39
695,1966,6,German Grand Prix,1966-08-07,\N,20
696,1966,7,Italian Grand Prix,1966-09-04,\N,14
697,1966,8,United States Grand Prix,1966-10-02,\N,46
698,1966,9,Mexican Grand Prix,1966-10-23,\N,32
699,1965,1,South African Grand Prix,1965-01-01,\N,56
700,1965,2,Monaco Grand Prix,1965-05-30,\N,6
701,1965,3,Belgian Grand Prix,1965-06-13,\N,13
702,1965,4,French Grand Prix,1965-06-27,\N,51
703,1965,5,British Grand Prix,1965-07-10,\N,9
704,1965,6,Dutch Grand Prix,1965-07-18,\N,39
705,1965,7,German Grand Prix,1965-08-01,\N,20
706,1965,8,Italian Grand Prix,1965-09-12,\N,14
707,1965,9,United States Grand Prix,1965-10-03,\N,46
708,1965,10,Mexican Grand Prix,1965-10-24,\N,32
709,1964,1,Monaco Grand Prix,1964-05-10,\N,6
710,1964,2,Dutch Grand Prix,1964-05-24,\N,39
711,1964,3,Belgian Grand Prix,1964-06-14,\N,13
712,1964,4,French Grand Prix,1964-06-28,\N,53
713,1964,5,British Grand Prix,1964-07-11,\N,38
714,1964,6,German Grand Prix,1964-08-02,\N,20
715,1964,7,Austrian Grand Prix,1964-08-23,\N,57
716,1964,8,Italian Grand Prix,1964-09-06,\N,14
717,1964,9,United States Grand Prix,1964-10-04,\N,46
718,1964,10,Mexican Grand Prix,1964-10-25,\N,32
719,1963,1,Monaco Grand Prix,1963-05-26,\N,6
720,1963,2,Belgian Grand Prix,1963-06-09,\N,13
721,1963,3,Dutch Grand Prix,1963-06-23,\N,39
722,1963,4,French Grand Prix,1963-06-30,\N,55
723,1963,5,British Grand Prix,1963-07-20,\N,9
724,1963,6,German Grand Prix,1963-08-04,\N,20
725,1963,7,Italian Grand Prix,1963-09-08,\N,14
726,1963,8,United States Grand Prix,1963-10-06,\N,46
727,1963,9,Mexican Grand Prix,1963-10-27,\N,32
728,1963,10,South African Grand Prix,1963-12-28,\N,56
729,1962,1,Dutch Grand Prix,1962-05-20,\N,39
730,1962,2,Monaco Grand Prix,1962-06-03,\N,6
731,1962,3,Belgian Grand Prix,1962-06-17,\N,13
732,1962,4,French Grand Prix,1962-07-08,\N,53
733,1962,5,British Grand Prix,1962-07-21,\N,58
734,1962,6,German Grand Prix,1962-08-05,\N,20
735,1962,7,Italian Grand Prix,1962-09-16,\N,14
736,1962,8,United States Grand Prix,1962-10-07,\N,46
737,1962,9,South African Grand Prix,1962-12-29,\N,56
738,1961,1,Monaco Grand Prix,1961-05-14,\N,6
739,1961,2,Dutch Grand Prix,1961-05-22,\N,39
740,1961,3,Belgian Grand Prix,1961-06-18,\N,13
741,1961,4,French Grand Prix,1961-07-02,\N,55
742,1961,5,British Grand Prix,1961-07-15,\N,58
743,1961,6,German Grand Prix,1961-08-06,\N,20
744,1961,7,Italian Grand Prix,1961-09-10,\N,14
745,1961,8,United States Grand Prix,1961-10-08,\N,46
746,1960,1,Argentine Grand Prix,1960-02-07,\N,25
747,1960,2,Monaco Grand Prix,1960-05-29,\N,6
748,1960,3,Indianapolis 500,1960-05-30,\N,19
749,1960,4,Dutch Grand Prix,1960-06-06,\N,39
750,1960,5,Belgian Grand Prix,1960-06-19,\N,13
751,1960,6,French Grand Prix,1960-07-03,\N,55
752,1960,7,British Grand Prix,1960-07-16,\N,9
753,1960,8,Portuguese Grand Prix,1960-08-14,\N,59
754,1960,9,Italian Grand Prix,1960-09-04,\N,14
755,1960,10,United States Grand Prix,1960-11-20,\N,60
756,1959,1,Monaco Grand Prix,1959-05-10,\N,6
757,1959,2,Indianapolis 500,1959-05-30,\N,19
758,1959,3,Dutch Grand Prix,1959-05-31,\N,39
759,1959,4,French Grand Prix,1959-07-05,\N,55
760,1959,5,British Grand Prix,1959-07-18,\N,58
761,1959,6,German Grand Prix,1959-08-02,\N,61
762,1959,7,Portuguese Grand Prix,1959-08-23,\N,62
763,1959,8,Italian Grand Prix,1959-09-13,\N,14
764,1959,9,United States Grand Prix,1959-12-12,\N,63
765,1958,1,Argentine Grand Prix,1958-01-19,\N,25
766,1958,2,Monaco Grand Prix,1958-05-18,\N,6
767,1958,3,Dutch Grand Prix,1958-05-26,\N,39
768,1958,4,Indianapolis 500,1958-05-30,\N,19
769,1958,5,Belgian Grand Prix,1958-06-15,\N,13
770,1958,6,French Grand Prix,1958-07-06,\N,55
