reference,year,number,name,date,time,circuit_id
771,1958,7,British Grand Prix,1958-07-19,\N,9
772,1958,8,German Grand Prix,1958-08-03,\N,20
773,1958,9,Portuguese Grand Prix,1958-08-24,\N,59
774,1958,10,Italian Grand Prix,1958-09-07,\N,14
775,1958,11,Moroccan Grand Prix,1958-10-19,\N,64
776,1957,1,Argentine Grand Prix,1957-01-13,\N,25
777,1957,2,Monaco Grand Prix,1957-05-19,\N,6
778,1957,3,Indianapolis 500,1957-05-30,\N,19
779,1957,4,French Grand Prix,1957-07-07,\N,53
780,1957,5,British Grand Prix,1957-07-20,\N,58
781,1957,6,German Grand Prix,1957-08-04,\N,20
782,1957,7,Pescara Grand Prix,1957-08-18,\N,65
783,1957,8,Italian Grand Prix,1957-09-08,\N,14
784,1956,1,Argentine Grand Prix,1956-01-22,\N,25
785,1956,2,Monaco Grand Prix,1956-05-13,\N,6
786,1956,3,Indianapolis 500,1956-05-30,\N,19
787,1956,4,Belgian Grand Prix,1956-06-03,\N,13
788,1956,5,French Grand Prix,1956-07-01,\N,55
789,1956,6,British Grand Prix,1956-07-14,\N,9
790,1956,7,German Grand Prix,1956-08-05,\N,20
791,1956,8,Italian Grand Prix,1956-09-02,\N,14
792,1955,1,Argentine Grand Prix,1955-01-16,\N,25
793,1955,2,Monaco Grand Prix,1955-05-22,\N,6
794,1955,3,Indianapolis 500,1955-05-30,\N,19
795,1955,4,Belgian Grand Prix,1955-06-05,\N,13
796,1955,5,Dutch Grand Prix,1955-06-19,\N,39
797,1955,6,British Grand Prix,1955-07-16,\N,58
798,1955,7,Italian Grand Prix,1955-09-11,\N,14
799,1954,1,Argentine Grand Prix,1954-01-17,\N,25
800,1954,2,Indianapolis 500,1954-05-31,\N,19
801,1954,3,Belgian Grand Prix,1954-06-20,\N,13
802,1954,4,French Grand Prix,1954-07-04,\N,55
803,1954,5,British Grand Prix,1954-07-17,\N,9
804,1954,6,German Grand Prix,1954-08-01,\N,20
805,1954,7,Swiss Grand Prix,1954-08-22,\N,66
806,1954,8,Italian Grand Prix,1954-09-05,\N,14
807,1954,9,Spanish Grand Prix,1954-10-24,\N,67
808,1953,1,Argentine Grand Prix,1953-01-18,\N,25
809,1953,2,Indianapolis 500,1953-05-30,\N,19
810,1953,3,Dutch Grand Prix,1953-06-07,\N,39
811,1953,4,Belgian Grand Prix,1953-06-21,\N,13
812,1953,5,French Grand Prix,1953-07-05,\N,55
813,1953,6,British Grand Prix,1953-07-18,\N,9
814,1953,7,German Grand Prix,1953-08-02,\N,20
815,1953,8,Swiss Grand Prix,1953-08-23,\N,66
816,1953,9,Italian Grand Prix,1953-09-13,\N,14
817,1952,1,Swiss Grand Prix,1952-05-18,\N,66
818,1952,2,Indianapolis 500,1952-05-30,\N,19
819,1952,3,Belgian Grand Prix,1952-06-22,\N,13
820,1952,4,French Grand Prix,1952-07-06,\N,53
821,1952,5,British Grand Prix,1952-07-19,\N,9
822,1952,6,German Grand Prix,1952-08-03,\N,20
823,1952,7,Dutch Grand Prix,1952-08-17,\N,39
824,1952,8,Italian Grand Prix,1952-09-07,\N,14
825,1951,1,Swiss Grand Prix,1951-05-27,\N,66
826,1951,2,Indianapolis 500,1951-05-30,\N,19
827,1951,3,Belgian Grand Prix,1951-06-17,\N,13
828,1951,4,French Grand Prix,1951-07-01,\N,55
829,1951,5,British Grand Prix,1951-07-14,\N,9
830,1951,6,German Grand Prix,1951-07-29,\N,20
831,1951,7,Italian Grand Prix,1951-09-16,\N,14
832,1951,8,Spanish Grand Prix,1951-10-28,\N,67
833,1950,1,British Grand Prix,1950-05-13,\N,9
834,1950,2,Monaco Grand Prix,1950-05-21,\N,6
835,1950,3,Indianapolis 500,1950-05-30,\N,19
836,1950,4,Swiss Grand Prix,1950-06-04,\N,66
837,1950,5,Belgian Grand Prix,1950-06-18,\N,13
838,1950,6,French Grand Prix,1950-07-02,\N,55
839,1950,7,Italian Grand Prix,1950-09-03,\N,14
841,2011,1,Australian Grand Prix,2011-03-27,06:00:00,1
842,2011,2,Malaysian Grand Prix,2011-04-10,08:00:00,2
843,2011,3,Chinese Grand Prix,2011-04-17,07:00:00,17
844,2011,4,Turkish Grand Prix,2011-05-08,12:00:00,5
845,2011,5,Spanish Grand Prix,2011-05-22,12:00:00,4
846,2011,6,Monaco Grand Prix,2011-05-29,12:00:00,6
847,2011,7,Canadian Grand Prix,2011-06-12,17:00:00,7
848,2011,8,European Grand Prix,2011-06-26,12:00:00,12
849,2011,9,British Grand Prix,2011-07-10,12:00:00,9
850,2011,10,German Grand Prix,2011-07-24,12:00:00,20
851,2011,11,Hungarian Grand Prix,2011-07-31,12:00:00,11
852,2011,12,Belgian Grand Prix,2011-08-28,12:00:00,13
853,2011,13,Italian Grand Prix,2011-09-11,12:00:00,14
854,2011,14,Singapore Grand Prix,2011-09-25,12:00:00,15
855,2011,15,Japanese Grand Prix,2011-10-09,06:00:00,22
856,2011,16,Korean Grand Prix,2011-10-16,06:00:00,35
857,2011,17,Indian Grand Prix,2011-10-30,09:30:00,68
858,2011,18,Abu Dhabi Grand Prix,2011-11-13,13:00:00,24
859,2011,19,Brazilian Grand Prix,2011-11-27,16:00:00,18
860,2012,1,Australian Grand Prix,2012-03-18,06:00:00,1
861,2012,2,Malaysian Grand Prix,2012-03-25,08:00:00,2
862,2012,3,Chinese Grand Prix,2012-04-15,07:00:00,17
863,2012,4,Bahrain Grand Prix,2012-04-22,12:00:00,3
864,2012,5,Spanish Grand Prix,2012-05-13,12:00:00,4
865,2012,6,Monaco Grand Prix,2012-05-27,12:00:00,6
866,2012,7,Canadian Grand Prix,2012-06-10,18:00:00,7
867,2012,8,European Grand Prix,2012-06-24,12:00:00,12
868,2012,9,British Grand Prix,2012-07-08,12:00:00,9
869,2012,10,German Grand Prix,2012-07-22,12:00:00,10
870,2012,11,Hungarian Grand Prix,2012-07-29,12:00:00,11
871,2012,12,Belgian Grand Prix,2012-09-02,12:00:00,13
872,2012,13,Italian Grand Prix,2012-09-09,12:00:00,14
873,2012,14,Singapore Grand Prix,2012-09-23,12:00:00,15
874,2012,15,Japanese Grand Prix,2012-10-07,06:00:00,22
875,2012,16,Korean Grand Prix,2012-10-14,06:00:00,35
876,2012,17,Indian Grand Prix,2012-10-28,09:30:00,68
877,2012,18,Abu Dhabi Grand Prix,2012-11-04,13:00:00,24
878,2012,19,United States Grand Prix,2012-11-18,19:00:00,69
879,2012,20,Brazilian Grand Prix,2012-11-25,16:00:00,18
880,2013,1,Australian Grand Prix,2013-03-17,06:00:00,1
881,2013,2,Malaysian Grand Prix,2013-03-24,08:00:00,2
882,2013,3,Chinese Grand Prix,2013-04-14,07:00:00,17
883,2013,4,Bahrain Grand Prix,2013-04-21,12:00:00,3
884,2013,5,Spanish Grand Prix,2013-05-12,12:00:00,4
885,2013,6,Monaco Grand Prix,2013-05-26,12:00:00,6
886,2013,7,Canadian Grand Prix,2013-06-09,18:00:00,7
887,2013,8,British Grand Prix,2013-06-30,12:00:00,9
888,2013,9,German Grand Prix,2013-07-07,12:00:00,20
890,2013,10,Hungarian Grand Prix,2013-07-28,12:00:00,11
891,2013,11,Belgian Grand Prix,2013-08-25,12:00:00,13
892,2013,12,Italian Grand Prix,2013-09-08,12:00:00,14
893,2013,13,Singapore Grand Prix,2013-09-22,12:00:00,15
894,2013,14,Korean Grand Prix,2013-10-06,06:00:00,35
895,2013,15,Japanese Grand Prix,2013-10-13,06:00:00,22
896,2013,16,Indian Grand Prix,2013-10-27,09:30:00,68
897,2013,17,Abu Dhabi Grand Prix,2013-11-03,13:00:00,24
898,2013,18,United States Grand Prix,2013-11-17,19:00:00,69
899,2013,19,Brazilian Grand Prix,2013-11-24,16:00:00,18
900,2014,1,Australian Grand Prix,2014-03-16,06:00:00,1
901,2014,2,Malaysian Grand Prix,2014-03-30,08:00:00,2
902,2014,3,Bahrain Grand Prix,2014-04-06,15:00:00,3
903,2014,4,Chinese Grand Prix,2014-04-20,07:00:00,17
904,2014,5,Spanish Grand Prix,2014-05-11,12:00:00,4
905,2014,6,Monaco Grand Prix,2014-05-25,12:00:00,6
906,2014,7,Canadian Grand Prix,2014-06-08,18:00:00,7
907,2014,8,Austrian Grand Prix,2014-06-22,12:00:00,70
908,2014,9,British Grand Prix,2014-07-06,12:00:00,9
909,2014,10,German Grand Prix,2014-07-20,12:00:00,10
910,2014,11,Hungarian Grand Prix,2014-07-27,12:00:00,11
911,2014,12,Belgian Grand Prix,2014-08-24,12:00:00,13
912,2014,13,Italian Grand Prix,2014-09-07,12:00:00,14
913,2014,14,Singapore Grand Prix,2014-09-21,12:00:00,15
914,2014,15,Japanese Grand Prix,2014-10-05,06:00:00,22
915,2014,16,Russian Grand Prix,2014-10-12,11:00:00,71
916,2014,17,United States Grand Prix,2014-11-02,20:00:00,69
917,2014,18,Brazilian Grand Prix,2014-11-09,16:00:00,18
918,2014,19,Abu Dhabi Grand Prix,2014-11-23,13:00:00,24
931,2015,6,Monaco Grand Prix,2015-05-24,12:00:00,6
932,2015,7,Canadian Grand Prix,2015-06-07,18:00:00,7
929,2015,4,Bahrain Grand Prix,2015-04-19,15:00:00,3
930,2015,5,Spanish Grand Prix,2015-05-10,12:00:00,4
928,2015,3,Chinese Grand Prix,2015-04-12,06:00:00,17
926,2015,1,Australian Grand Prix,2015-03-15,05:00:00,1
927,2015,2,Malaysian Grand Prix,2015-03-29,07:00:00,2
933,2015,8,Austrian Grand Prix,2015-06-21,12:00:00,70
934,2015,9,British Grand Prix,2015-07-05,12:00:00,9
936,2015,10,Hungarian Grand Prix,2015-07-26,12:00:00,11
937,2015,11,Belgian Grand Prix,2015-08-23,12:00:00,13
938,2015,12,Italian Grand Prix,2015-09-06,12:00:00,14
939,2015,13,Singapore Grand Prix,2015-09-20,12:00:00,15
940,2015,14,Japanese Grand Prix,2015-09-27,05:00:00,22
941,2015,15,Russian Grand Prix,2015-10-11,11:00:00,71
942,2015,16,United States Grand Prix,2015-10-25,19:00:00,69
943,2015,17,Mexican Grand Prix,2015-11-01,19:00:00,32
944,2015,18,Brazilian Grand Prix,2015-11-15,16:00:00,18
945,2015,19,Abu Dhabi Grand Prix,2015-11-29,13:00:00,24
948,2016,1,Australian Grand Prix,2016-03-20,05:00:00,1
949,2016,2,Bahrain Grand Prix,2016-04-03,15:00:00,3
950,2016,3,Chinese Grand Prix,2016-04-17,06:00:00,17
951,2016,4,Russian Grand Prix,2016-05-01,12:00:00,71
952,2016,5,Spanish Grand Prix,2016-05-15,12:00:00,4
953,2016,6,Monaco Grand Prix,2016-05-29,12:00:00,6
954,2016,7,Canadian Grand Prix,2016-06-12,18:00:00,7
955,2016,8,European Grand Prix,2016-06-19,13:00:00,73
956,2016,9,Austrian Grand Prix,2016-07-03,12:00:00,70
957,2016,10,British Grand Prix,2016-07-10,12:00:00,9
958,2016,11,Hungarian Grand Prix,2016-07-24,12:00:00,11
959,2016,12,German Grand Prix,2016-07-31,12:00:00,10
960,2016,13,Belgian Grand Prix,2016-08-28,12:00:00,13
961,2016,14,Italian Grand Prix,2016-09-04,12:00:00,14
962,2016,15,Singapore Grand Prix,2016-09-18,12:00:00,15
963,2016,16,Malaysian Grand Prix,2016-10-02,07:00:00,2
964,2016,17,Japanese Grand Prix,2016-10-09,05:00:00,22
965,2016,18,United States Grand Prix,2016-10-23,19:00:00,69
966,2016,19,Mexican Grand Prix,2016-10-30,19:00:00,32
967,2016,20,Brazilian Grand Prix,2016-11-13,16:00:00,18
968,2016,21,Abu Dhabi Grand Prix,2016-11-27,13:00:00,24
969,2017,1,Australian Grand Prix,2017-03-26,05:00:00,1
970,2017,2,Chinese Grand Prix,2017-04-09,06:00:00,17
971,2017,3,Bahrain Grand Prix,2017-04-16,15:00:00,3
972,2017,4,Russian Grand Prix,2017-04-30,12:00:00,71
973,2017,5,Spanish Grand Prix,2017-05-14,12:00:00,4
974,2017,6,Monaco Grand Prix,2017-05-28,12:00:00,6
975,2017,7,Canadian Grand Prix,2017-06-11,18:00:00,7
976,2017,8,Azerbaijan Grand Prix,2017-06-25,13:00:00,73
977,2017,9,Austrian Grand Prix,2017-07-09,12:00:00,70
978,2017,10,British Grand Prix,2017-07-16,12:00:00,9
979,2017,11,Hungarian Grand Prix,2017-07-30,12:00:00,11
980,2017,12,Belgian Grand Prix,2017-08-27,12:00:00,13
981,2017,13,Italian Grand Prix,2017-09-03,12:00:00,14
982,2017,14,Singapore Grand Prix,2017-09-17,12:00:00,15
983,2017,15,Malaysian Grand Prix,2017-10-01,07:00:00,2
984,2017,16,Japanese Grand Prix,2017-10-08,05:00:00,22
985,2017,17,United States Grand Prix,2017-10-22,19:00:00,69
986,2017,18,Mexican Grand Prix,2017-10-29,19:00:00,32
987,2017,19,Brazilian Grand Prix,2017-11-12,16:00:00,18
988,2017,20,Abu Dhabi Grand Prix,2017-11-26,13:00:00,24
989,2018,1,Australian Grand Prix,2018-03-25,05:10:00,1
990,2018,2,Bahrain Grand Prix,2018-04-08,15:10:00,3
991,2018,3,Chinese Grand Prix,2018-04-15,06:10:00,17
992,2018,4,Azerbaijan Grand Prix,2018-04-29,12:10:00,73
993,2018,5,Spanish Grand Prix,2018-05-13,13:10:00,4
994,2018,6,Monaco Grand Prix,2018-05-27,13:10:00,6
995,2018,7,Canadian Grand Prix,2018-06-10,18:10:00,7
996,2018,8,French Grand Prix,2018-06-24,14:10:00,34
997,2018,9,Austrian Grand Prix,2018-07-01,13:10:00,70
998,2018,10,British Grand Prix,2018-07-08,13:10:00,9
999,2018,11,German Grand Prix,2018-07-22,13:10:00,10
1000,2018,12,Hungarian Grand Prix,2018-07-29,13:10:00,11
1001,2018,13,Belgian Grand Prix,2018-08-26,13:10:00,13
1002,2018,14,Italian Grand Prix,2018-09-02,13:10:00,14
1003,2018,15,Singapore Grand Prix,2018-09-16,12:10:00,15
1004,2018,16,Russian Grand Prix,2018-09-30,11:10:00,71
1005,2018,17,Japanese Grand Prix,2018-10-07,05:10:00,22
1006,2018,18,United States Grand Prix,2018-10-21,18:10:00,69
1007,2018,19,Mexican Grand Prix,2018-10-28,19:10:00,32
1008,2018,20,Brazilian Grand Prix,2018-11-11,17:10:00,18
1009,2018,21,Abu Dhabi Grand Prix,2018-11-25,13:10:00,24
1010,2019,1,Australian Grand Prix,2019-03-17,05:10:00,1
1011,2019,2,Bahrain Grand Prix,2019-03-31,15:10:00,3
1012,2019,3,Chinese Grand Prix,2019-04-14,06:10:00,17
1013,2019,4,Azerbaijan Grand Prix,2019-04-28,12:10:00,73
1014,2019,5,Spanish Grand Prix,2019-05-12,13:10:00,4
1015,2019,6,Monaco Grand Prix,2019-05-26,13:10:00,6
1016,2019,7,Canadian Grand Prix,2019-06-09,18:10:00,7
1017,2019,8,French Grand Prix,2019-06-23,13:10:00,34
1018,2019,9,Austrian Grand Prix,2019-06-30,13:10:00,70
1019,2019,10,British Grand Prix,2019-07-14,13:10:00,9
1020,2019,11,German Grand Prix,2019-07-28,13:10:00,10
1021,2019,12,Hungarian Grand Prix,2019-08-04,13:10:00,11
1022,2019,13,Belgian Grand Prix,2019-09-01,13:10:00,13
1023,2019,14,Italian Grand Prix,2019-09-08,13:10:00,14
1024,2019,15,Singapore Grand Prix,2019-09-22,12:10:00,15
1025,2019,16,Russian Grand Prix,2019-09-29,11:10:00,71
1026,2019,17,Japanese Grand Prix,2019-10-13,05:10:00,22
1027,2019,18,Mexican Grand Prix,2019-10-27,19:10:00,32
1028,2019,19,United States Grand Prix,2019-11-03,19:10:00,69
1029,2019,20,Brazilian Grand Prix,2019-11-17,17:10:00,18
1030,2019,21,Abu Dhabi Grand Prix,2019-12-01,13:10:00,24
1031,2020,1,Austrian Grand Prix,2020-07-05,13:10:00,70
1032,2020,2,Styrian Grand Prix,2020-07-12,13:10:00,70
1033,2020,3,Hungarian Grand Prix,2020-07-19,13:10:00,11
1034,2020,4,British Grand Prix,2020-08-02,13:10:00,9
1035,2020,5,70th Anniversary Grand Prix,2020-08-09,13:10:00,9
1036,2020,6,Spanish Grand Prix,2020-08-16,13:10:00,4
1037,2020,7,Belgian Grand Prix,2020-08-30,13:10:00,13
1038,2020,8,Italian Grand Prix,2020-09-06,13:10:00,14
1039,2020,9,Tuscan Grand Prix,2020-09-13,13:10:00,76
1040,2020,10,Russian Grand Prix,2020-09-27,11:10:00,71
1041,2020,11,Eifel Grand Prix,2020-10-11,13:10:00,20
1042,2020,12,Portuguese Grand Prix,2020-10-25,12:10:00,75
1043,2020,13,Emilia Romagna Grand Prix,2020-11-01,12:10:00,21
1044,2020,14,Turkish Grand Prix,2020-11-15,10:10:00,5
1045,2020,15,Bahrain Grand Prix,2020-11-29,14:10:00,3
1046,2020,16,Sakhir Grand Prix,2020-12-06,17:10:00,3
1047,2020,17,Abu Dhabi Grand Prix,2020-12-13,13:10:00,24
1053,2021,2,Emilia Romagna Grand Prix,2021-04-18,13:00:00,21
1074,2022,1,Bahrain Grand Prix,2022-03-20,15:00:00,3
1052,2021,1,Bahrain Grand Prix,2021-03-28,15:00:00,3
1051,2021,20,Qatar Grand Prix,2021-11-21,14:00:00,78
1054,2021,3,Portuguese Grand Prix,2021-05-02,14:00:00,75
1055,2021,4,Spanish Grand Prix,2021-05-09,13:00:00,4
1056,2021,5,Monaco Grand Prix,2021-05-23,13:00:00,6
1057,2021,6,Azerbaijan Grand Prix,2021-06-06,12:00:00,73
1058,2021,8,Styrian Grand Prix,2021-06-27,13:00:00,70
1059,2021,7,French Grand Prix,2021-06-20,13:00:00,34
1060,2021,9,Austrian Grand Prix,2021-07-04,13:00:00,70
1061,2021,10,British Grand Prix,2021-07-18,14:00:00,9
1062,2021,11,Hungarian Grand Prix,2021-08-01,13:00:00,11
1063,2021,12,Belgian Grand Prix,2021-08-29,13:00:00,13
1064,2021,13,Dutch Grand Prix,2021-09-05,13:00:00,39
1065,2021,14,Italian Grand Prix,2021-09-12,13:00:00,14
1066,2021,15,Russian Grand Prix,2021-09-26,12:00:00,71
1067,2021,16,Turkish Grand Prix,2021-10-10,12:00:00,5
1069,2021,17,United States Grand Prix,2021-10-24,19:00:00,69
1070,2021,18,Mexico City Grand Prix,2021-11-07,19:00:00,32
1071,2021,19,So Paulo Grand Prix,2021-11-14,17:00:00,18
1072,2021,21,Saudi Arabian Grand Prix,2021-12-05,17:30:00,77
1073,2021,22,Abu Dhabi Grand Prix,2021-12-12,13:00:00,24
1075,2022,2,Saudi Arabian Grand Prix,2022-03-27,17:00:00,77
1076,2022,3,Australian Grand Prix,2022-04-10,05:00:00,1
1077,2022,4,Emilia Romagna Grand Prix,2022-04-24,13:00:00,21
1078,2022,5,Miami Grand Prix,2022-05-08,19:30:00,79
1079,2022,6,Spanish Grand Prix,2022-05-22,13:00:00,4
1080,2022,7,Monaco Grand Prix,2022-05-29,13:00:00,6
1081,2022,8,Azerbaijan Grand Prix,2022-06-12,11:00:00,73
1082,2022,9,Canadian Grand Prix,2022-06-19,18:00:00,7
1083,2022,10,British Grand Prix,2022-07-03,14:00:00,9
1084,2022,11,Austrian Grand Prix,2022-07-10,13:00:00,70
1085,2022,12,French Grand Prix,2022-07-24,13:00:00,34
1086,2022,13,Hungarian Grand Prix,2022-07-31,13:00:00,11
1087,2022,14,Belgian Grand Prix,2022-08-28,13:00:00,13
1088,2022,15,Dutch Grand Prix,2022-09-04,13:00:00,39
1089,2022,16,Italian Grand Prix,2022-09-11,13:00:00,14
1091,2022,17,Singapore Grand Prix,2022-10-02,12:00:00,15
1092,2022,18,Japanese Grand Prix,2022-10-09,05:00:00,22
1093,2022,19,United States Grand Prix,2022-10-23,19:00:00,69
1094,2022,20,Mexico City Grand Prix,2022-10-30,20:00:00,32
1095,2022,21,So Paulo Grand Prix,2022-11-13,18:00:00,18
1096,2022,22,Abu Dhabi Grand Prix,2022-11-20,13:00:00,24
1098,2023,1,Bahrain Grand Prix,2023-03-05,15:00:00,3
1099,2023,2,Saudi Arabian Grand Prix,2023-03-19,17:00:00,77
1100,2023,3,Australian Grand Prix,2023-04-02,05:00:00,1
1101,2023,4,Azerbaijan Grand Prix,2023-04-30,11:00:00,73
1102,2023,5,Miami Grand Prix,2023-05-07,19:30:00,79
1104,2023,6,Monaco Grand Prix,2023-05-28,13:00:00,6
1105,2023,7,Spanish Grand Prix,2023-06-04,13:00:00,4
1106,2023,8,Canadian Grand Prix,2023-06-18,18:00:00,7
1107,2023,9,Austrian Grand Prix,2023-07-02,13:00:00,70
1108,2023,10,British Grand Prix,2023-07-09,14:00:00,9
1109,2023,11,Hungarian Grand Prix,2023-07-23,13:00:00,11
1110,2023,12,Belgian Grand Prix,2023-07-30,13:00:00,13
1111,2023,13,Dutch Grand Prix,2023-08-27,13:00:00,39
1112,2023,14,Italian Grand Prix,2023-09-03,13:00:00,14
1113,2023,15,Singapore Grand Prix,2023-09-17,12:00:00,15
1114,2023,16,Japanese Grand Prix,2023-09-24,05:00:00,22
1115,2023,17,Qatar Grand Prix,2023-10-08,17:00:00,78
1116,2023,18,United States Grand Prix,2023-10-22,19:00:00,69
1117,2023,19,Mexico City Grand Prix,2023-10-29,20:00:00,32
1118,2023,20,So Paulo Grand Prix,2023-11-05,17:00:00,18
1119,2023,21,Las Vegas Grand Prix,2023-11-19,06:00:00,80
1120,2023,22,Abu Dhabi Grand Prix,2023-11-26,13:00:00,24
1121,2024,1,Bahrain Grand Prix,2024-03-02,15:00:00,3
1122,2024,2,Saudi Arabian Grand Prix,2024-03-09,17:00:00,77
1123,2024,3,Australian Grand Prix,2024-03-24,04:00:00,1
1124,2024,4,Japanese Grand Prix,2024-04-07,05:00:00,22
1125,2024,5,Chinese Grand Prix,2024-04-21,07:00:00,17
1126,2024,6,Miami Grand Prix,2024-05-05,20:00:00,79
1127,2024,7,Emilia Romagna Grand Prix,2024-05-19,13:00:00,21
1128,2024,8,Monaco Grand Prix,2024-05-26,13:00:00,6
1129,2024,9,Canadian Grand Prix,2024-06-09,18:00:00,7
1130,2024,10,Spanish Grand Prix,2024-06-23,13:00:00,4
1131,2024,11,Austrian Grand Prix,2024-06-30,13:00:00,70
1132,2024,12,British Grand Prix,2024-07-07,14:00:00,9
1133,2024,13,Hungarian Grand Prix,2024-07-21,13:00:00,11
1134,2024,14,Belgian Grand Prix,2024-07-28,13:00:00,13
1135,2024,15,Dutch Grand Prix,2024-08-25,13:00:00,39
1136,2024,16,Italian Grand Prix,2024-09-01,13:00:00,14
1137,2024,17,Azerbaijan Grand Prix,2024-09-15,11:00:00,73
1138,2024,18,Singapore Grand Prix,2024-09-22,12:00:00,15
1139,2024,19,United States Grand Prix,2024-10-20,19:00:00,69
1140,2024,20,Mexico City Grand Prix,2024-10-27,20:00:00,32
1141,2024,21,So Paulo Grand Prix,2024-11-03,17:00:00,18
1142,2024,22,Las Vegas Grand Prix,2024-11-23,06:00:00,80
1143,2024,23,Qatar Grand Prix,2024-12-01,17:00:00,78
1144,2024,24,Abu Dhabi Grand Prix,2024-12-08,13:00:00,24
